Wikipedia movie ID,Freebase_movie_ID,Movie_name,Movie_release_date,Movie_box_office_revenue,Movie_runtime,Movie_languages,Movie_countries,Movie_genres,Movie_languages_clean,Movie_countries_clean,Movie_genres_clean,Movie_release_year,Movie_release_date_datetime,movie_title,movie_revenue,budget,id,release_date,language_count
25533110,09rvwmy,Solitary Man,2009-09,5024782.0,90.0,"{""/m/02h40lc"": ""English Language"", ""/m/06nm1"": ""Spanish Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01t_vv"": ""Comedy-drama"", ""/m/02l7c8"": ""Romance Film"", ""/m/07s9rl0"": ""Drama"", ""/m/01z4y"": ""Comedy""}","['English Language', 'Spanish Language']",['United States of America'],"['Comedy-drama', 'Romance Film', 'Drama', 'Comedy']",2009,2009-09-01,Solitary Man,4360548.0,15000000.0,36691,2009-09-07,2
30129615,0g56v_k,Mr. Popper's Penguins,2011-06-16,187361754.0,94.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0hqxf"": ""Family Film"", ""/m/01z4y"": ""Comedy""}",['English Language'],['United States of America'],"['Family Film', 'Comedy']",2011,2011-06-16,Mr. Popper's Penguins,68224452.0,55000000.0,58224,2011-06-17,1
2080169,06ksnc,Never Been Kissed,1999-04-09,84565230.0,107.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/06cvj"": ""Romantic comedy"", ""/m/02l7c8"": ""Romance Film"", ""/m/07s9rl0"": ""Drama"", ""/m/01z4y"": ""Comedy"", ""/m/02b5_l"": ""Teen""}",['English Language'],['United States of America'],"['Romantic comedy', 'Romance Film', 'Drama', 'Comedy', 'Teen']",1999,1999-04-09,Never Been Kissed,55474756.0,25000000.0,11355,1999-04-09,1
100700,0pmjs,John Q,2002-02-15,71026631.0,116.0,"{""/m/02h40lc"": ""English Language"", ""/m/06nm1"": ""Spanish Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/07s9rl0"": ""Drama""}","['English Language', 'Spanish Language']",['United States of America'],"['Thriller', 'Drama']",2002,2002-02-15,John Q,71756802.0,36000000.0,8470,2002-02-15,2
3427182,09bw4_,Jumper,2008-02-06,222231186.0,88.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/0d060g"": ""Canada""}","{""/m/01jfsb"": ""Thriller"", ""/m/06n90"": ""Science Fiction"", ""/m/03k9fj"": ""Adventure"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/07s9rl0"": ""Drama"", ""/m/060__y"": ""Film adaptation"", ""/m/02kdv5l"": ""Action""}",['English Language'],"['United States of America', 'Canada']","['Thriller', 'Science Fiction', 'Adventure', 'Action/Adventure', 'Drama', 'Film adaptation', 'Action']",2008,2008-02-06,Jumper,80172128.0,85000000.0,8247,2008-02-10,1
1968680,069stz,Spacehunter: Adventures in the Forbidden Zone,1983-05-20,16500000.0,90.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/06n90"": ""Science Fiction"", ""/m/0hqxf"": ""Family Film"", ""/m/03k9fj"": ""Adventure"", ""/m/09zvmj"": ""Space western""}",['English Language'],['United States of America'],"['Science Fiction', 'Family Film', 'Adventure', 'Space western']",1983,1983-05-20,Spacehunter: Adventures in the Forbidden Zone,16478265.0,15000000.0,26978,1983-05-20,1
196176,01bwgr,Straw Dogs,1971-11-03,11148828.0,118.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/07ssc"": ""United Kingdom""}","{""/m/01jfsb"": ""Thriller"", ""/m/07s9rl0"": ""Drama""}",['English Language'],"['United States of America', 'United Kingdom']","['Thriller', 'Drama']",1971,1971-11-03,Straw Dogs,10324441.0,2200000.0,994,1971-12-29,1
694482,033dk0,Firefox,1982-06-18,70687344.0,136.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/0cq22f9"": ""Action Thrillers"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/0c3351"": ""Suspense"", ""/m/082gq"": ""War film"", ""/m/02kdv5l"": ""Action"", ""/m/01xpvb7"": ""Airplanes and airports""}",['English Language'],['United States of America'],"['Thriller', 'Action Thrillers', 'Action/Adventure', 'Suspense', 'War film', 'Action', 'Airplanes and airports']",1982,1982-06-18,Firefox,46708276.0,18000000.0,10724,1982-06-13,1
168929,016mhd,Billy Elliot,2000-10-03,21995263.0,110.0,"{""/m/02h40lc"": ""English Language""}","{""/m/0f8l9c"": ""France"", ""/m/02jx1"": ""England"", ""/m/07ssc"": ""United Kingdom""}","{""/m/0hn10"": ""LGBT"", ""/m/04dn71w"": ""Dance"", ""/m/0219x_"": ""Indie"", ""/m/02h8pkk"": ""Family Drama"", ""/m/01t_vv"": ""Comedy-drama"", ""/m/0hj3mxx"": ""Childhood Drama"", ""/m/04xvlr"": ""Period piece"", ""/m/01j1n2"": ""Coming of age"", ""/m/01z4y"": ""Comedy"", ""/m/07s9rl0"": ""Drama""}",['English Language'],"['France', 'England', 'United Kingdom']","['LGBT', 'Dance', 'Indie', 'Family Drama', 'Comedy-drama', 'Childhood Drama', 'Period piece', 'Coming of age', 'Comedy', 'Drama']",2000,2000-10-03,Billy Elliot,21995263.0,5000000.0,71,2000-05-18,1
1285796,04q4fh,Quest for Camelot,1998-05-15,22510798.0,86.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/03k9fj"": ""Adventure"", ""/m/0hj3myq"": ""Children's/Family"", ""/m/04xvh5"": ""Costume drama"", ""/m/0hcr"": ""Animation"", ""/m/04t36"": ""Musical"", ""/m/0bj8m2"": ""Children's"", ""/m/01hmnh"": ""Fantasy"", ""/m/0hj3myc"": ""Children's Fantasy"", ""/m/0hj3mtv"": ""Animated Musical"", ""/m/04rlf"": ""Music"", ""/m/0hqxf"": ""Family Film"", ""/m/0hh_j8m"": ""Mythological Fantasy""}",['English Language'],['United States of America'],"['Adventure', ""Children's/Family"", 'Costume drama', 'Animation', 'Musical', ""Children's"", 'Fantasy', ""Children's Fantasy"", 'Animated Musical', 'Music', 'Family Film', 'Mythological Fantasy']",1998,1998-05-15,Quest for Camelot,22510798.0,40000000.0,18937,1998-05-15,1
1045457,04165w,Finding Neverland,2004-09-04,118676606.0,106.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/07ssc"": ""United Kingdom""}","{""/m/017fp"": ""Biography"", ""/m/04xvh5"": ""Costume drama"", ""/m/04xvlr"": ""Period piece"", ""/m/07s9rl0"": ""Drama"", ""/m/0hj3mws"": ""Biopic [feature]"", ""/m/0hqxf"": ""Family Film""}",['English Language'],"['United States of America', 'United Kingdom']","['Biography', 'Costume drama', 'Period piece', 'Drama', 'Biopic [feature]', 'Family Film']",2004,2004-09-04,Finding Neverland,51680613.0,25000000.0,866,2004-10-17,1
4299508,0bvvx9,Friends with Money,2006-04-07,18245244.0,88.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0hj3n0w"": ""Ensemble Film"", ""/m/0219x_"": ""Indie"", ""/m/03p5xs"": ""Comedy of manners"", ""/m/01t_vv"": ""Comedy-drama"", ""/m/07s9rl0"": ""Drama"", ""/m/01z4y"": ""Comedy"", ""/m/02l7c8"": ""Romance Film""}",['English Language'],['United States of America'],"['Ensemble Film', 'Indie', 'Comedy of manners', 'Comedy-drama', 'Drama', 'Comedy', 'Romance Film']",2006,2006-04-07,Friends with Money,13368437.0,6500000.0,8998,2006-09-07,1
14965069,03cvvlg,Doubt,2008-10-30,50907234.0,104.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/04p5fxn"": ""Christian film"", ""/m/02n4kr"": ""Mystery"", ""/m/04xvlr"": ""Period piece"", ""/m/07s9rl0"": ""Drama"", ""/m/060__y"": ""Film adaptation""}",['English Language'],['United States of America'],"['Christian film', 'Mystery', 'Period piece', 'Drama', 'Film adaptation']",2008,2008-10-30,Doubt,33446470.0,20000000.0,14359,2008-11-27,1
932297,03r6q1,The Road to El Dorado,2000-03-31,76432727.0,89.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0556j8"": ""Buddy film"", ""/m/03k9fj"": ""Adventure"", ""/m/0hj3myq"": ""Children's/Family"", ""/m/04xvh5"": ""Costume drama"", ""/m/0hcr"": ""Animation"", ""/m/01hmnh"": ""Fantasy"", ""/m/01z4y"": ""Comedy"", ""/m/0hqxf"": ""Family Film"", ""/m/0hj3n26"": ""Family-Oriented Adventure""}",['English Language'],['United States of America'],"['Buddy film', 'Adventure', ""Children's/Family"", 'Costume drama', 'Animation', 'Fantasy', 'Comedy', 'Family Film', 'Family-Oriented Adventure']",2000,2000-03-31,The Road to El Dorado,50863742.0,95000000.0,10501,2000-03-31,1
